year,geo_name,geo,income
2015,"Census Tract 2.02","14000US06073000202",60929.0
2013,"Census Tract 170.34","14000US06073017034",89286.0
2014,"Census Tract 170.34","14000US06073017034",97106.0
2015,"Census Tract 170.34","14000US06073017034",101892.0
2013,"Census Tract 170.46","14000US06073017046",136007.0
2014,"Census Tract 170.46","14000US06073017046",127143.0
2015,"Census Tract 170.46","14000US06073017046",134625.0
2013,"Census Tract 95.06","14000US06073009506",102215.0
2014,"Census Tract 95.06","14000US06073009506",103655.0
2015,"Census Tract 95.06","14000US06073009506",101190.0
2013,"Census Tract 96.04","14000US06073009604",60774.0
2014,"Census Tract 96.04","14000US06073009604",66403.0
2015,"Census Tract 96.04","14000US06073009604",65943.0
2013,"Census Tract 96.02","14000US06073009602",63406.0
2014,"Census Tract 96.02","14000US06073009602",62977.0
2015,"Census Tract 96.02","14000US06073009602",65577.0
2013,"Census Tract 34.01","14000US06073003401",50335.0
2014,"Census Tract 34.01","14000US06073003401",53312.0
2015,"Census Tract 34.01","14000US06073003401",52674.0
2013,"Census Tract 28.03","14000US06073002803",49111.0
2014,"Census Tract 28.03","14000US06073002803",45532.0
2015,"Census Tract 28.03","14000US06073002803",43314.0
2013,"Census Tract 34.04","14000US06073003404",38705.0
2014,"Census Tract 34.04","14000US06073003404",38591.0
2015,"Census Tract 34.04","14000US06073003404",36113.0
2013,"Census Tract 27.08","14000US06073002708",23081.0
2014,"Census Tract 27.08","14000US06073002708",26396.0
2015,"Census Tract 27.08","14000US06073002708",25721.0
2013,"Census Tract 27.05","14000US06073002705",52371.0
2014,"Census Tract 27.05","14000US06073002705",48533.0
2015,"Census Tract 27.05","14000US06073002705",53333.0
2013,"Census Tract 101.04","14000US06073010104",58125.0
2014,"Census Tract 101.04","14000US06073010104",61307.0
2015,"Census Tract 101.04","14000US06073010104",57917.0
2013,"Census Tract 101.10","14000US06073010110",44688.0
2014,"Census Tract 101.10","14000US06073010110",44934.0
2015,"Census Tract 101.10","14000US06073010110",45212.0
2013,"Census Tract 132.05","14000US06073013205",30505.0
2014,"Census Tract 132.05","14000US06073013205",30525.0
2015,"Census Tract 132.05","14000US06073013205",31532.0
2013,"Census Tract 133.08","14000US06073013308",52900.0
2014,"Census Tract 133.08","14000US06073013308",53224.0
2015,"Census Tract 133.08","14000US06073013308",49189.0
2013,"Census Tract 32.09","14000US06073003209",50056.0
2014,"Census Tract 32.09","14000US06073003209",52807.0
2015,"Census Tract 32.09","14000US06073003209",53073.0
2013,"Census Tract 32.11","14000US06073003211",58684.0
2014,"Census Tract 32.11","14000US06073003211",66875.0
2015,"Census Tract 32.11","14000US06073003211",67250.0
2013,"Census Tract 32.12","14000US06073003212",78452.0
2014,"Census Tract 32.12","14000US06073003212",77029.0
2015,"Census Tract 32.12","14000US06073003212",77051.0
2013,"Census Tract 32.13","14000US06073003213",89753.0
2014,"Census Tract 32.13","14000US06073003213",89891.0
2015,"Census Tract 32.13","14000US06073003213",86991.0
2013,"Census Tract 32.14","14000US06073003214",70368.0
2014,"Census Tract 32.14","14000US06073003214",63681.0
